Milos,Teodosic,28,195,teo,teo2
Marko,Simonovic,29,201,simon,simon2
Ognjen,Kuzmic,25,213,kuzma,kuzma2
Bogdan,Bogdanovic,23,198,bogdan,bogdan2
Nemanja,Bjelica,27,209,beli,beli2
Stefan,Markovic,27,195,markovic,markovic2
Nikola,Kalinic,23,202,kalina,kalina2
Miroslav,Raduljica,33,213,brada,brada2
